Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26976.0,2.32935410928911,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,222390716092438e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000011/MC_C_20211114_000011_R11_S02.fits
26826.0,3.841288196150519,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,222390716092438e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000011/MC_C_20211114_000011_R11_S02.fits
26682.0,2.948501065200881,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,222390716092438e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000011/MC_C_20211114_000011_R11_S02.fits
26770.0,2.692095394000582,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,222390716092438e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000011/MC_C_20211114_000011_R11_S02.fits
26980.0,2.7601559230403456,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,e29c6259648607e2,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000140/MC_C_20211114_000140_R11_S02.fits
26822.0,2.77473766094174,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,e29c6259648607e2,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000140/MC_C_20211114_000140_R11_S02.fits
26682.0,3.805952481744749,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,e29c6259648607e2,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000140/MC_C_20211114_000140_R11_S02.fits
26775.0,2.705156787306666,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,e29c6259648607e2,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000140/MC_C_20211114_000140_R11_S02.fits
26856.0,1.4849752654464006,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,e29c6259648607e2,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000140/MC_C_20211114_000140_R11_S02.fits
26197.0,1.989324812573154,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment13,7f25d26bd362d5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000204/MC_C_20211119_000204_R11_S02.fits
26523.0,2.8441470779066216,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,7f25d26bd362d5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000204/MC_C_20211119_000204_R11_S02.fits
26411.0,1.2545389213631335,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment04,7f25d26bd362d5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000204/MC_C_20211119_000204_R11_S02.fits
26485.0,1.859762785992347,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment03,7f25d26bd362d5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000204/MC_C_20211119_000204_R11_S02.fits
26558.0,1.463535064254623,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment02,7f25d26bd362d5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000204/MC_C_20211119_000204_R11_S02.fits
26436.0,1.902834139608871,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment13,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
27003.0,1.6762208086964738,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment14,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
26977.0,2.5742036642563564,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
26824.0,3.9009278686133375,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
26772.0,3.402646343422533,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
26854.0,1.7485648619558327,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,32b7ac09299f1d54,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000137/MC_C_20211114_000137_R11_S02.fits
26477.0,1.172422504340736,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment12,66a09ec8f15e7817,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000233/MC_C_20211119_000233_R11_S02.fits
